,n_frames,auc_mean,auc_std,nss_mean,nss_std,cc_mean,cc_std
random,310.0,0.5018987754729759,0.050538894200255445,0.006530093669918584,0.1749460099757539,0.0006060687583324113,0.0042567013485811074
center_bias_parametric,310.0,0.7716742509463875,0.1260169477872189,1.0453493506632625,0.6442027419006299,0.4583815942903414,0.23269662413088316
itti_koch,310.0,0.6876253048971778,0.11088881590194515,0.39437930096736956,0.4143791559565324,0.13554001636636387,0.08780050283616411
resnet_saliency,310.0,0.8807808916189658,0.07340251265040688,2.524499320839682,1.0841730171595927,0.7233002765725876,0.1750416828738318
ijepa_saliency,310.0,0.8924321406525968,0.05974200637845688,2.7676028747712413,0.9889685312473315,0.7722752473327325,0.17630536914249906
